Week,Month,Date,Store Name,Store ID,City,Operation Time,Peak Time,Completed Orders,Failed Orders,Net Revenue,Gross Revenue,Expenses,Customer Actual Price Payed,Average Actual Price Payed,Average Revenue,Products Total Price,Package Revenue,Self-Delivery Fee,Other Revenues,Comission,Promotion Subsidies Total,Voucher Subsidies,Delivery Subsidies,AI Spend-Save Subsidy,AI Service Fee,Basic Logistic Fee,Other Service Fees,Store Canceled Orders,Clicks,Visitors,Order Conversion Rate,New Customer Conversion Rate,Returners Conversion Rate,Participating Promotions,Promotions Number in orders,Promotions per order,Spend Save Promotion Count,Super User promotion count,Delivery promotion count,Input/Output Ratio,Total Subsidy,Eleme Subsidy,Third-party subsidy,Store Subsidy (Total),Store Subsidy(Not Incl. Spend Save),Promotion Rate (Total),Promotion Rate (Not incl. spend save),Order Count,Repurchase Count,Repurchase Rate,New Customer Count,Returners Count,Active Product Count,Purchased Products Count,86 Product Count,New Products Count,Promotional Product Count,Negative Revew Product Count,Complaint Order Count,Complaint Order ID,Overtime Order Count,Overtime Order ID,Pushed Order Count,Refused Orders Count
26,7,2021/7/1,6 Gubei,170435679,上海,12小时1分,5小时0分,25,2,1702.32,2290,587.68,2155.9,86.24,68.09,2221,69,0,0,373.68,58,36,48,72,0,0,0,2,136,96,0.2604,0.1695,0.4054,6,25,1,24,6,22,10.07,317,103,0,214,104,0.09,0.26,25,0,0,10,15,120,23,1,4,36,0,0,,0,,0,0
26,7,2021/7/1,5 TS,170483226,上海,12小时1分,5小时0分,52,0,3177.91,4348,1170.09,4050.2,77.89,61.11,4211,137,0,0,703.09,177,84,84,105.5,0,0,16.5,0,250,180,0.2833,0.1538,0.62,5,52,1,39,17,42,8.99,631,180.5,0,450.5,289,0.1,0.14,51,0,0,20,31,166,28,1,3,33,0,0,,3,"502,999,408,603,816,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1,0
26,7,2021/7/1,7 Magnolia,2000261656,上海,11小时1分,4小时30分,29,0,1805.52,2400.5,594.98,2298.3,79.25,62.26,2321,79.5,0,0,423.58,55.4,32,8,76,0,0,0,0,107,89,0.3258,0.08,0.641,5,29,1,26,7,4,13.41,280.4,109,0,171.4,53.4,0.07,0.1,29,0,0,4,25,101,22,0,5,30,0,0,,2,"50,300,274,578,753,200,000,000,000,000,000,000,000",0,0
26,7,2021/7/1,2 Fengxian,440866,上海,12小时1分,5小时0分,43,0,2317.02,3223.5,906.48,2936.7,68.3,53.88,3120,103.5,0,0,543.98,123,52,84,102,0,0,1.5,0,119,97,0.433,0.1957,0.6471,9,43,1,40,12,38,8.13,528,167,0,361,160,0.1,0.21,42,0,0,9,33,156,27,4,6,40,1,0,,1,5.03001E+18,0,0
26,7,2021/7/1,8 Julu,500151743,上海,12小时1分,5小时0分,38,4,2197.9,3068,870.1,2782.8,73.23,57.84,2969,99,0,0,482.8,181.3,32,76,96.5,0,0,1.5,0,128,102,0.3725,0.1481,0.625,7,38,1,33,5,36,7.21,511.3,125.5,0,385.8,177.3,0.12,0.16,38,0,0,8,30,126,28,0,5,37,0,0,,2,"50,300,107,385,659,000,000,000,000,000,000,000,000",0,0
26,7,2021/7/1,QD 1,501475047,青岛,11小时1分,5小时0分,4,0,262.08,351,88.92,319.8,79.95,65.52,343,8,0,0,49.92,16,15,8,0,0,0,0,0,104,90,0.0444,0,0.3636,5,4,1,2,2,4,8.2,44,5,0,39,33,0.11,0.15,4,0,0,0,4,123,8,0,2,32,0,0,,0,,0,0
26,7,2021/7/1,9 CS,501879439,上海,12小时1分,5小时0分,22,2,1280.31,1875,534.01,1668.9,75.86,58.2,1820,55,0,0,297.31,138,40,30,15.2,0,0,13.5,1,182,148,0.1554,0.0846,0.6667,7,21,0.9545,8,9,15,7.59,297,85.8,0,211.2,139,0.11,0.12,23,0,0,11,12,77,16,0,2,38,0,0,,4,"5,030,045,978,193,590,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,0
26,7,2021/7/1,10 CX,502017105,上海,12小时1分,5小时0分,19,0,993.14,1405,411.86,1237.6,65.14,52.27,1362,43,0,0,218.31,74.2,40,62.7,15.65,0,0,1,0,215,183,0.1038,0.0602,0.5294,7,19,1,8,8,19,6.43,282.4,89.85,0,192.55,128.9,0.13,0.15,19,0,0,10,9,72,15,0,4,38,0,0,,1,5.03005E+18,0,0
26,7,2021/7/1,4 Zunyi,777435,上海,12小时1分,5小时0分,36,1,2074,2852.5,754.16,2641.3,73.37,57.61,2760,92.5,0,0,461.16,88,56,70,76.5,0,0,2.5,0,140,106,0.3396,0.1148,0.6444,7,35,0.9722,30,9,29,8.96,436,145.5,0,290.5,184,0.1,0.22,36,0,0,7,29,135,28,5,4,38,0,0,,3,"503,001,491,676,364,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1,0
26,7,2021/7/1,3 Pudong,927104,上海,11小时34分,5小时0分,54,0,3424.37,4597,1172.63,4285.2,79.36,63.41,4447,150,0,0,752.13,89,104,88,137.5,0,0,2,0,259,201,0.2687,0.1037,0.6061,8,54,1,51,19,44,10.24,647,228.5,0,418.5,212,0.08,0.26,54,0,0,14,40,171,30,8,4,38,0,0,,6,"503,001,464,850,453,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,0
26,7,2021/7/2,6 Gubei,170435679,上海,11小时1分,5小时0分,24,0,1348.01,1819,470.99,1814.1,75.59,56.17,1762,57,0,0,298.29,59.2,24,46,32.5,0,0,11,0,121,93,0.2473,0.1017,0.5,7,24,1,18,5,18,11.22,220.2,58.5,0,161.7,101.2,0.08,0.13,23,0,0,6,17,125,18,0,4,37,0,0,,2,"50,301,267,751,855,500,000,000,000,000,000,000,000",0,0
26,7,2021/7/2,5 TS,170483226,上海,12小时1分,5小时0分,53,1,2665,3797.5,1090.63,3432.6,64.77,50.28,3688,109.5,0,0,594.63,169,141,90,94,0,0,2,0,290,202,0.2624,0.1736,0.4828,4,52,0.9811,39,14,45,6.85,698,204,0,494,351,0.12,0.19,53,0,0,25,28,165,22,0,3,32,0,0,,6,"503,009,125,443,042,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,0
26,7,2021/7/2,7 Magnolia,2000261656,上海,11小时1分,4小时30分,33,0,2076.75,2777.5,700.75,2631,79.73,62.93,2691,86.5,0,0,487.35,71.4,70,4,67.5,0,0,0.5,0,119,104,0.3173,0.0909,0.5714,5,33,1,29,5,2,12.36,341.9,129,0,212.9,97.4,0.07,0.15,33,0,0,5,28,101,29,0,5,30,0,0,,1,5.03008E+18,0,0
26,7,2021/7/2,2 Fengxian,440866,上海,12小时1分,5小时0分,37,0,2227.54,3099,871.46,2815.5,76.09,60.2,2999,100,0,0,522.96,100,93,70,84,0,0,1.5,0,140,113,0.3274,0.0952,0.62,9,37,1,33,6,28,8.11,502.1,155.1,0,347,181,0.1,0.23,37,0,0,6,31,156,29,4,6,40,0,0,,5,"50,300,799,464,523,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,0
