,Week,Month,Date,Store Name,Store ID,City,Order Count,Gross Revenue,Net Revenue,Net Income,出杯数,Customer Count,Completed Orders,Average Spend,Cash Pay,Card Pay,WeChat Pay,WeChat Scan Pay,Mini-App Pay,Alipay,Member Pay,Net Member Pay,Member Bonus,Sherpas,Boss Consumed,Gift Voucher,Gift Voucher Net Revenue,Vocher Exchange,Voucher Exchange Net Revenue,Cash Voucher,Loss,领用,Eleme,Eleme Comission,Eleme Fees,Eleme Delivery Fee,Meituan,Meituan Comission,Mietuan Delivery Fee,Wiped to zero,Total Discount,Total Free,Hold Order,Returns,Fapiao,ReCharge,Delivery Comission,Delivery Fee,在线活动预售,在线活动核销 ,Online Revenue,In-Store Revenue
0,17,4,2021-04-30 00:00:00,10 CX,10,上海,41,3123,2236.8,2236.8,0,6,41,54.56,0,0,240,240,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1450.54,320.38,1.5,0,497.26,102.24,0,0,462.08,0,0,0,0,0,422.62,0,0,0,1947.8,289
1,17,4,2021-04-30 00:00:00,9 CS,9,上海,36,2768,1816.29,1816.29,0,2,36,50.45,0,0,138,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,1160.72,255.3,1.5,0,517.57,102.63,0,0,592.28,0,0,0,0,0,357.93,9,0,0,1816.29,0
2,17,4,2021-04-30 00:00:00,8 Julu,7,上海,126,10579,8816.82,8816.82,0,77,124,71.1,296,0,3165,2618,547,875,0,0,0,1006,0,0,0,0,0,0,0,0,2516.86,553.14,3,0,957.96,184.54,0,0,796.5,225,0,48,0,0,737.68,0,0,0,5027.82,3789
3,17,4,2021-04-30 00:00:00,5 TS,4,上海,66,5159,3973.33,3973.33,0,21,66,60.2,0,0,966,670,296,332,0,0,0,274,0,0,0,0,0,0,0,0,1688.25,396.25,0.5,0,713.08,136.42,0,0,607.5,45,0,0,0,0,532.67,0,0,0,2971.33,1002
4,17,4,2021-04-30 00:00:00,6 Gubei,5,上海,83,7153,5630.06,5630.06,0,26,83,67.83,0,0,970,848,122,506,0,0,0,337,0,0,0,0,0,0,0,0,2467.18,578.82,0,0,1349.88,257.12,0,0,642,45,0,0,0,0,835.94,0,0,0,4276.06,1354
5,17,4,2021-04-30 00:00:00,3 Pudong,2,上海,108,12064,9369.13,9369.13,0,32,108,86.75,138,0,315,45,270,219,0,0,0,1916,0,0,0,0,0,0,0,0,5049.89,1110.61,2,0,1731.24,329.76,0,0,1203.5,49,0,0,0,0,1440.37,0,0,0,8967.13,402
6,17,4,2021-04-30 00:00:00,4 Zunyi,3,上海,88,6810.5,5293.19,5293.19,0,21,86,61.55,46,0,451,275,176,469,100,100,0,408,0,0,0,0,0,0,0,0,2862.39,672.11,2.5,0,956.8,182.25,0,0,660.45,0,0,0,0,0,854.36,0,0,0,4403.19,890
7,17,4,2021-04-30 00:00:00,2 Fengxian,1,上海,102,7687.5,6481.06,6481.06,0,55,100,64.81,0,0,1714,1569,145,1764,0,0,0,63,0,0,0,0,0,0,0,0,2034.16,477.34,0.5,0,905.9,185.6,0,0,494,49,0,0,0,0,662.94,0,0,0,3148.06,3333
8,17,4,2021-04-30 00:00:00,7 Magnolia,6,上海,42,4096,3130.68,3130.68,0,6,42,74.54,0,0,136,49,87,69,0,0,0,191,0,0,0,0,0,0,0,0,2148.86,504.14,0,0,585.82,112.18,0,0,349,0,0,0,0,0,616.32,4,0,0,3012.68,118
9,17,4,2021-04-30 00:00:00,QD 1,8,青岛,17,1502,1300.28,1300.28,0,12,17,76.49,72,0,670,575,95,166,0,0,0,0,0,0,0,0,0,0,0,0,392.28,74.72,0,0,0,0,0,0,127,0,0,0,0,0,74.72,0,0,0,487.28,813
10,17,4,2021-04-29 00:00:00,10 CX,10,上海,45,2955.5,2122.25,2122.25,0,18,45,47.16,0,0,418,355,63,264,0,0,0,202,0,0,0,0,0,0,0,0,947.35,208.05,0.5,0,290.9,59.6,0,0,499.1,66,0,0,0,0,267.65,4,0,0,1503.25,619
11,17,4,2021-04-29 00:00:00,9 CS,9,上海,38,2675.5,1783.97,1783.97,0,3,38,46.95,0,0,0,0,0,0,67,67,0,192,0,0,0,0,0,0,0,0,1079.16,237.59,1.5,0,445.81,88.09,0,0,564.35,0,0,0,0,0,325.68,3,0,0,1716.97,67
12,17,4,2021-04-29 00:00:00,8 Julu,7,上海,112,8790,7250.15,7250.15,0,56,112,64.73,163,0,1583,1547,36,1586,132,132,0,787,0,0,0,0,0,0,0,0,2333.45,512.55,1.5,0,665.7,126.8,0,0,671,228,0,0,0,0,639.35,0,0,0,3822.15,3428
13,17,4,2021-04-29 00:00:00,5 TS,4,上海,99,7174,5610.44,5610.44,0,30,95,59.06,0,0,810,363,447,561,48,48,0,512,0,0,0,0,0,0,0,0,2814.58,660.82,2,0,864.86,168.14,0,0,732.6,0,0,104,0,0,828.96,6,0,0,4638.44,972
14,17,4,2021-04-29 00:00:00,6 Gubei,5,上海,65,5558,4318.79,4318.79,0,24,65,66.44,324,0,559,523,36,131,0,0,0,408,0,0,0,0,0,0,0,0,2201.52,516.48,0,0,695.27,132.43,0,0,500.3,90,0,0,0,0,648.91,0,0,0,3340.79,978
15,17,4,2021-04-29 00:00:00,3 Pudong,2,上海,95,8378,6457.93,6457.93,0,17,95,67.98,0,0,266,266,0,330,0,0,0,527,0,0,0,0,0,0,0,0,3366.51,738.99,0,0,1968.42,368.78,0,0,812.3,0,0,0,0,0,1107.77,0,0,0,5861.93,596
16,17,4,2021-04-29 00:00:00,4 Zunyi,3,上海,103,6907.5,5518.73,5518.73,0,46,103,53.58,0,0,1560,1160,400,824,0,0,0,332,0,0,0,0,0,0,0,0,1892.59,444.41,1.5,0,910.14,173.36,0,0,769.5,0,0,0,0,0,617.77,3,0,0,3534.73,1984
17,17,4,2021-04-29 00:00:00,2 Fengxian,1,上海,114,7627.5,6440.89,6440.89,0,57,114,56.5,0,0,2065,1724,341,1259,55,55,0,75,0,0,0,0,0,0,0,0,2456.21,576.79,2,0,530.68,109.32,0,0,498.5,0,0,0,0,0,686.11,3,0,0,3402.89,3038
18,17,4,2021-04-29 00:00:00,7 Magnolia,6,上海,55,4348.5,3267.46,3267.46,0,6,55,59.41,0,0,242,33,209,0,0,0,0,107,0,0,0,0,0,0,0,0,2365.42,555.08,0.5,0,553.04,108.46,0,0,417,0,0,0,0,0,663.54,3,0,0,3234.46,33
19,17,4,2021-04-29 00:00:00,QD 1,8,青岛,19,1236,1043.6,1043.6,0,12,19,54.93,138,0,401,401,0,101,0,0,0,0,0,0,0,0,0,0,0,0,260.4,49.6,0,0,143.2,35.8,0,0,97,10,0,0,0,0,85.4,0,0,0,403.6,640
20,17,4,2021-04-28 00:00:00,10 CX,10,上海,35,2780.5,1961.41,1961.41,0,5,35,56.04,0,0,94,94,0,260,0,0,0,0,0,0,0,0,0,0,0,0,1283.73,283.66,1,0,323.68,66.32,0,0,419.11,49,0,0,0,0,349.98,0,0,0,1607.41,354
21,17,4,2021-04-28 00:00:00,9 CS,9,上海,47,3285.5,2230.16,2230.16,0,4,47,47.45,0,0,0,0,0,0,61,61,0,280,0,0,0,0,0,0,0,0,1538.1,338.98,2.5,0,351.06,69.74,0,0,644.12,0,0,0,0,0,408.72,3,0,0,2169.16,61
22,17,4,2021-04-28 00:00:00,8 Julu,7,上海,106,8425,6898.35,6898.35,0,43,106,65.08,97,0,1382,885,497,1455,66,66,0,442,0,0,0,0,0,0,0,0,2867.09,629.91,2.5,0,589.26,112.24,0,0,782,0,0,0,0,0,742.15,0,0,0,4395.35,2503
23,17,4,2021-04-28 00:00:00,5 TS,4,上海,78,5221.78,4008.81,4008.81,0,24,77,52.06,0,0,574,359,215,740,48,48,0,133,0,0,0,0,0,0,0,0,1745.21,420.07,1,0,768.6,146.4,0,0,600.5,45,0,0,0,0,566.47,9,0,0,2861.81,1147
24,17,4,2021-04-28 00:00:00,6 Gubei,5,上海,54,4555,3538.29,3538.29,0,17,54,65.52,39,62,315,263,52,443,0,0,0,287,0,0,0,0,0,0,0,0,1636.96,384.04,0,0,755.33,143.87,0,0,488.8,0,0,0,0,0,527.91,0,0,0,2731.29,807
25,17,4,2021-04-28 00:00:00,3 Pudong,2,上海,93,7762.5,5825.18,5825.18,0,15,93,62.64,0,0,162,162,0,428,0,0,0,456,0,0,0,0,0,0,0,0,3187.34,699.66,0,0,1591.84,303.21,0,0,830.45,104,0,0,0,0,1002.87,0,0,0,5235.18,590
